,prio0:category,prio1:latexA,prio2:latexB,prio3:htmlA,prio4:htmlB,prio5:shortA,prio6:shortB,prio7:shortC
♪,sym.music.note_eighth,\eighthnote,,,,,,
♫,sym.music.note_eighth_double,\twonotes,,,,,,
♭,sym.music.flat,\flat,,,,,,
♮,sym.music.natural,\natural,,,,,,
♯,sym.music.sharp,\sharp,,,,,,
⚀,sym.dice.one,\dicei,,,,,[1],
⚁,sym.dice.two,\diceii,,,,,[2],
⚂,sym.dice.three,\diceiii,,,,,[3],
⚃,sym.dice.four,\diceiv,,,,,[4],
⚄,sym.dice.five,\dicev,,,,,[5],
⚅,sym.dice.six,\dicevi,,,,,[6],
,,,,,,,,
☠,sym.warn.poison,,,,,,,
☢,sym.warn.radioactive,,,,,,,
☣,sym.warn.biohazard,,,,,,,
⚠,sym.warn.warning,,,,,,,
⚡,sym.warn.high_voltage,,,,,,,
,,,,,,,,
←,sym.arrow.normal.left,\leftarrow,,&leftarrow,&larr,->l,<-,
↑,sym.arrow.normal.up,\uparrow,,&uparrow,&uarr,->u,,
→,sym.arrow.normal.right,\rightarrow,,&rightarrow,&rarr,->r,->,
↓,sym.arrow.normal.down,\downarrow,,&downarrow,&darr,->d,,
↖,sym.arrow.normal.upleft,\nwarrow,,&nwarrpw,&nwarr,->ul,,
↗,sym.arrow.normal.upright,\nearrow,,&nearrow,&nearr,->ur,,
↘,sym.arrow.normal.downright,\searrow,,&searrow,&searr,->dr,,
↙,sym.arrow.normal.downleft,\swarrow,,&swarr,&swarr,->dl,,
↔,sym.arrow.normal.leftright,\leftrightarrow,,&leftrightarrow,&harr,<->lr,<->,
↕,sym.arrow.normal.updown,\updownarrow,,&updownarrow,&varr,<->ud,,
⬰,sym.arrow.normal.left_circle,\circleonleftarrow,,,,,,
⇴,sym.arrow.normal.right_circle,\circleonrightarrow,,,,,,
⬲,sym.arrow.normal.left_circleplus,\leftarrowonoplus,,,,,,
⟴,sym.arrow.normal.right_circleplus,\rightarrowonoplus,,,,,,
⥈,sym.arrow.normal.left_right_circle,\leftrightarrowcircle,,,,,,
⬾,sym.arrow.normal.left_x,\leftarrowx,,,,,,
⥇,sym.arrow.normal.right_x,\rightarrowx,,,,,,
↚,sym.arrow.normal.left_not,\nleftarrow,\not\leftarrow,&nleftarrow,&nlarr,!->l,!<-,
↛,sym.arrow.normal.right_not,\nrightarrow,\not\rightarrow,&nrightarrow,&nrarr,!->r,!->,
↮,sym.arrow.normal.leftright_not,\nleftrightarrow,\not\leftrightarrow,&nleftrightarrow,&nharrow,!<->lr,!<->,
⇽,sym.arrow.openhead.left,\leftarrowtriangle,,,&loarr,,,
⇾,sym.arrow.openhead.right,\rightarrowtriangle,,,&roarr,,,
⇿,sym.arrow.openhead.leftright,\leftrightarrowtriangle,,,&hoarr,,,
⇐,sym.arrow.double.left,\Leftarrow,,&Leftarrow,&lArr,=>l,<=,
⇑,sym.arrow.double.up,\Uparrow,,&Uparrow,&uArr,=>u,,
⇒,sym.arrow.double.right,\Rightarrow,,&Rightarrow,&rArr,=>r,=>,
⇓,sym.arrow.double.down,\Downarrow,,&Downarrow,&dArr,=>d,,
⇖,sym.arrow.double.upleft,\Nwarrow,,,&nwArr,=>ul,,
⇗,sym.arrow.double.upright,\Nearrow,,,&neArr,=>ur,,
⇘,sym.arrow.double.downright,\Searrow,,,&seArr,=>dr,,
⇙,sym.arrow.double.downleft,\Swarrow,,,&swArr,=>dl,,
⇔,sym.arrow.double.leftright,\Leftrightarrow,,&Leftrightarrow,&hArr,<=>lr,<=>,
⇕,sym.arrow.double.updown,\Updownarrow,,&Updownarrow,&vArr,<=>ud,,
⇍,sym.arrow.double.left_not,\nLeftarrow,\not\Leftarrow,&nLeftArrow,&nlArr,!=>l,!<=,
⇏,sym.arrow.double.right_not,\nRightarrow,\not\Rightarrow,&nRightArrow,&nrArr,!=>r,!=>,
⇎,sym.arrow.double.leftright_not,\nLeftrightarrow,\not\Leftrightarrow,&nLeftrightarrow,&nhArr,!<=>lr,!<=>,
⇚,sym.arrow.tripple.left,\Lleftarrow,,&Lleftarrow,&lAarr,,,
⤊,sym.arrow.tripple.up,\Uuparrow,,,,,,
⇛,sym.arrow.tripple.right,\Rrightarrow,,&Rrightarrow,&rAarr,,,
⤋,sym.arrow.tripple.down,\Ddownarrow,,,,,,
⭅,sym.arrow.quadruple.left,\LLeftarrow,,,,,,
⟰,sym.arrow.quadruple.up,\UUparrow,,,,,,
⭆,sym.arrow.quadruple.right,\RRightarrow,,,,,,
⟱,sym.arrow.quadruple.down,\DDownarrow,,,,,,
⇦,sym.arrow.white.left,\leftwhitearrow,,,,,,
⇧,sym.arrow.white.up,\upwhitearrow,,,,,,
⇨,sym.arrow.white.right,\rightwhitearrow,,,,,,
⇩,sym.arrow.white.down,\downwhitearrow,,,,,,
⇪,sym.arrow.white.up_bar,\whitearrowupfrombar,,,,,,
↞,sym.arrow.doublehead.left,\twoheadleftarrow,,&twoheadleftarrow,&Larr,->>l,<<-,
↟,sym.arrow.doublehead.up,\twoheaduparrow,,,&Uarr,->>u,,
↠,sym.arrow.doublehead.right,\twoheadrightarrow,,&twoheadrightarrow,&Rarr,->>r,->>,
↡,sym.arrow.doublehead.down,\twoheaddownarrow,,,&Darr,->>d,,
↢,sym.arrow.tail.left,\leftarrowtail,,&leftarrowtail,&larrtl,,<-<,
↣,sym.arrow.tail.right,\rightarrowtail,,&rightarrowtail,&rarrtl,,>->,
⤙,sym.arrow.tail_only.left,\lefttail,,,,,,
⤚,sym.arrow.tail_only.right,\righttail,,,,,,
⤛,sym.arrow.tail_onlydouble.left,\leftdbltail,,,,,,
⤜,sym.arrow.tail_onlydouble.right,\rightdbltail,,,,,,
↤,sym.arrow.tailbar.left,\mapsfrom,\leftmapsto,&LeftTeeArrow,&maptstoleft,|->l,<-|,
↥,sym.arrow.tailbar.up,\mapsup,,&UpTeeArrow,&mapstotop,|->u,,
↦,sym.arrow.tailbar.right,\mapsto,,&RightTeeArrow,&mapstoright,|->r,|->,
↧,sym.arrow.tailbar.down,mapsdo,,&DownTeeArrow,&mapstodown,|->d,,
↨,sym.arrow.bottombar.updown,\updownarrowbar,,,,|<->ud,,
⇤,sym.arrow.headbar.left,\barleftarrow,,&LeftArrowBar,&larrb,->|l,|<-,
⤒,sym.arrow.headbar.up,\baruparrow,,,,->|u,,
⇥,sym.arrow.headbar.right,\rightarrowbar,,&RightArrowBar,&rarrb,->|r,->|,
⤓,sym.arrow.headbar.down,\downarrowbar,,,,->|d,,
⤆,sym.arrow.doubletailbar.left,\Mapsfrom,,,,|=>l,<=|,
⤇,sym.arrow.doubletailbar.right,\Mapsto,,,,|=>r,|=>,
↰,sym.arrow.angle.upleft,\Lsh,,&Lsh,&lsh,,,
↱,sym.arrow.angle.upright,\Rsh,,&Rsh,&rsh,,,
↲,sym.arrow.angle.downleft,\Ldsh,,,&ldsh,,,
↳,sym.arrow.angle.downright,\Rdsh,,,&rdsh,,,
↵,sym.arrow.carriage_return,\linefeed,,,&crarr,,,
↴,sym.arrow.line_feed,\carriagereturn,,,,,,
↩,sym.arrow.hook.left,\hookleftarrow,,&hookleftarrow,&larrhk,,,
↪,sym.arrow.hook.right,\hookrightarrow,,&hookrightarrow,&rarrhk,,,
↫,sym.arrow.loop.left,\looparrowleft,,&looparrowleft,&larrlp,,,
↬,sym.arrow.loop.right,\looparrowlright,,&looparrowright,&rarrlp,,,
↯,sym.arrow.normal.zigzag,\downzigzagarrow,,,,err,,
↶,sym.arrow.semicircle.anticlockwise,\curvearrowleft,,&curvearrowleft,&cularr,,,
↷,sym.arrow.semicircle.clockwise,\curvearrowright,,&curvearrowright,&curarr,,,
⤿,sym.arrow.corner.anticlockwise,\ccwundercurvearrow,,,,,,
⤾,sym.arrow.corner.clockwise,\cwundercurvearrow,,,,,,
↺,sym.arrow.rotation.anticlockwise,\circlearrowleft,,&circlearrowleft,&olarr,,,
↻,sym.arrow.rotation.clockwise,\circlearrowright,,&circlearrowright,&orarr,,,
⟲,sym.arrow.circlegap.anticlockwise,\acwgapcirclearrow,\rcirclearrowleft,,,,,
⟳,sym.arrow.circlegap.clockwise,\cwgapcirclearrow,\lcirclearrowright,,,,,
⥀,sym.arrow.circle.anticlockwise,\acwcirclearrow,,,,,,
⥁,sym.arrow.circle.clockwise,\cwcirclearrow,,,,,,
↼,sym.arrow.harpoon.left_r,\leftharpoonup,,&leftharpoonup,&lharu,,,
↽,sym.arrow.harpoon.left_l,\leftharpoondown,,&leftharpoondown,&lhard,,,
↾,sym.arrow.harpoon.up_r,\upharpoonright,,&upharpoonright,&uharr,,,
↿,sym.arrow.harpoon.up_l,\upharpoonleft,,&upharpoonleft,&uharl,,,
⇁,sym.arrow.harpoon.right_r,\rightharpoondown,,&rightharpoondown,&rhard,,,
⇀,sym.arrow.harpoon.right_l,\rightharpoonup,,&rightharpoonup,&rharu,,,
⇃,sym.arrow.harpoon.down_r,\downharpoonleft,,&downharpoonleft,&dharl,,,
⇂,sym.arrow.harpoon.down_l,\downharpoonright,,&downharpoonright,&dharr,,,
⇄,sym.arrow.dual.right_left,\rightleftarrows,,&rightleftarrows,&rlarr,,,
⇅,sym.arrow.dual.up_down,\updownarrows,,,&udarr,,,
⇆,sym.arrow.dual.left_right,\leftrightarrows,,&leftrightarrows,&lrarr,,,
⇵,sym.arrow.dual.down_up,\downuparrows,,,&duarr,,,
⇇,sym.arrow.dual.left_left,\leftleftarrows,,&leftleftarrows,&llarr,,,
⇈,sym.arrow.dual.up_up,\upuparrows,,&upuparrows,&uuarr,,,
⇉,sym.arrow.dual.right_right,\rightrightarrows,,&rightrightarrows,&rrarr,,,
⇊,sym.arrow.dual.down_down,\downdownarrows,,&downdownarrows,&ddarr,,,
